Reference, Value, Footprint, Datasheet, Product Page, Spec
"U3","ESP32-WROOM-32","RF_Module:AZ-Delivery_ESP32Wroom32_withUSB_module","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf"
"F4","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
"R3","330","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4","330","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"C8","680n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"MP8","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"F1","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
"F2","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
"J3","Conn_02x03_Taster","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"J2","Conn_01x05_LCD","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
